employee_id,commission_rate
5691156,3.37
857443,5.46
1224332,8.89
9790423,4.87
679003,3.38
3787426,2.79
5227778,5.54
7166099,0.32
3023435,1.82
2018036,6.76
1196845,9.0
2514871,7.04
3946343,1.59
4763575,2.72
6092660,4.70
6916769,8.78
5659734,6.63
8840484,8.65
5154396,4.82
3980821,9.0
454017,1.65
3308825,5.70
1610231,4.68
9152800,6.68
1257572,6.51
6385953,5.72
2742077,7.96
1840423,1.58
904575,5.17
2606141,0.07
2179930,3.60
2468524,6.64
6455710,5.42
2476187,1.64
6297564,4.04
4758036,7.04
7810440,8.74
6443477,1.28
4206776,7.50
4761017,7.05
1054191,5.59
6171719,9.0
6502765,8.69
3232455,7.27
5611593,4.13
8866684,5.69
7539007,4.78
8382883,3.40
9934512,0.76
9079682,9.0
7162678,8.87
1408651,1.20
9884397,1.69
1716462,4.53
4639080,4.96
6397622,6.79
2798683,3.28
2224266,5.64
175195,2.16
4048991,5.16
2301023,1.04
3146132,2.54
9963010,0.64
9508818,6.11
9796890,0.07
7386556,3.18
1661008,7.17
6499241,9.0
2101576,2.48
6455263,9.0
5170218,4.58
847214,8.91
3174349,5.60
2371558,6.13
1970415,9.0
6659146,6.53
2418149,8.37
9718331,1.53
1963522,8.25
8163644,0.70
1049787,0.80
1343541,2.87
944414,4.11
6133884,6.68
4693500,8.23
1346261,8.06
2216973,6.98
1743213,6.29
5715710,8.68
4946285,5.07
5168875,1.68
9587068,3.42
6035938,6.24
7981740,1.09
2663697,3.13
5520749,6.35
9531896,3.25
7825208,9.0
2145603,8.00
9073921,2.47
9186344,1.10
149719,0.63
7797201,7.35
7771723,7.98
7188252,6.72
7921569,5.15
1958515,7.94
5769231,6.10
5962351,5.34
4977211,6.84
4514439,8.48
2841902,1.71
2646532,5.67
6918311,5.78
5563934,0.62
519364,7.07
7592388,4.26
932076,0.92
8306316,7.45
3426199,1.39
6790270,1.08
8050207,4.61
19885,4.40
4964987,5.15
5581170,0.22
2049320,8.45
7161329,9.0
5544856,6.03
9298618,4.17
8588997,7.63
4350892,2.39
7506515,2.76
6207764,2.76
5043190,3.47
1536616,1.93
4673712,4.54
4501894,0.45
5803602,9.0
6128411,2.50
2872108,9.0
4092409,6.41
4354422,1.45
170826,7.02
9183888,4.61
1511848,2.88
5068140,0.70
7401019,3.84
848441,5.60
3945487,3.53
4736372,3.16
6235650,8.67
1290238,4.51
4152075,1.44
4586742,9.0
3115310,1.02
6069243,2.28
2822516,7.98
3127055,4.42
8743447,5.74
5211517,7.26
8676499,0.57
7161263,5.75
8121007,1.89
7381974,6.72
8494296,9.0
3905427,1.31
2935854,8.24
5445704,7.65
3960029,8.28
3072614,7.56
2285858,2.60
1041229,3.85
4324883,4.20
6917407,7.75
7652688,5.18
6035815,4.84
9345376,0.08
1272542,2.06
4700306,7.33
8553230,5.08
2258946,5.67
2335081,3.33
9268700,1.43
6501423,2.58
6088398,8.58
3134522,8.81
6894599,1.81
9762227,0.25
6035107,6.33
1778577,2.95
392546,6.56
7200952,4.22
536361,7.29
8350930,2.89
1273015,5.50
6267405,0.77
248511,7.06
7137971,8.05
8976451,8.87
4821212,6.08
5915791,5.98
2891571,2.16
8420725,3.15
9702780,6.88
5974000,8.39
4233146,0.47
8540454,8.33
746413,5.02
9411894,2.16
5022891,1.34
5281857,9.0
6560005,9.0
7192623,8.57
4650282,0.40
4238835,5.84
9258525,2.56
5576358,0.39
4997257,6.02
6365814,1.38
8074759,9.0
8642920,2.90
4349698,0.36
4907505,7.26
7753148,6.56
3801110,1.42
2318525,4.14
9375014,3.01
6202472,5.47
3517613,1.91
5460950,5.47
5167827,2.44
3569574,3.69
8711805,7.26
2279360,6.77
4536482,2.24
8684627,6.70
4292609,2.14
6699722,2.24
3353349,7.59
9452925,3.62
8174251,8.28
2673757,8.65
6266901,6.98
2300092,4.02
8395387,0.12
9807823,8.89
1244309,5.56
859395,9.0
1761271,7.43
8115431,4.33
5492100,3.47
848119,5.20
4153467,5.59
8343626,6.61
8629849,5.96
2438471,8.41
4192442,6.34
8242210,3.95
2745440,7.49
9408615,0.99
6752731,0.19
8125762,8.60
2505203,1.48
7473637,3.36
7556098,6.04
9730225,1.35
6798095,3.19
5360787,0.49
5233870,3.89
9663439,9.0
9741633,8.39
7033527,2.32
6174606,6.93
4233044,6.07
5291941,7.69
1570277,6.62
8312967,2.84
8788322,0.03
2995846,3.08
3927810,9.0
6373257,4.34
6453021,1.99
670241,0.09
5272329,3.69
4757590,7.58
1373022,9.0
8056125,6.39
9325925,8.05
9126896,4.57
4098140,6.85
5703204,1.64
9594096,1.49
8982687,4.30
2654601,8.71
5441464,5.07
8709895,9.0
902174,4.95
2216704,1.01
693874,8.29
4485430,1.98
4758384,2.70
6397020,2.70
4975296,3.50
1962394,1.67
9556538,7.59
9104830,9.0
529659,0.09
3298498,7.08
6653680,7.70
2353723,4.90
5088640,2.77
6756572,5.06
3852793,6.06
343933,1.61
3750118,0.66
1536653,4.86
1871679,6.05
623637,3.10
5159569,9.0
2077637,0.08
2194745,1.63
1718215,8.45
5215158,3.47
959657,1.65
6426512,3.55
6537766,6.60
2051720,9.0
65215,9.0
2892393,0.70
6720460,4.65
8037138,4.14
1748662,8.93
7677408,0.87
700206,0.08
9892976,5.43
1133436,8.09
4047669,5.96
2255547,8.23
5881537,2.23
3659224,4.65
550585,5.48
1545727,2.03
2958792,3.65
617308,2.53
2108774,6.67
1307785,0.90
1260632,6.38
2963056,5.76
4993325,7.86
3084705,3.02
2638660,8.38
9434300,1.35
7185281,0.81
8613930,2.52
9784048,9.0
3124769,0.07
4272114,1.89
2926240,7.25
5105379,0.39
5297281,7.28
2265632,9.0
5838881,9.0
2249192,0.51
4804460,6.63
1760021,4.48
2238049,3.84
5951540,7.79
5607366,5.31
3354197,9.0
2151757,3.87
9862639,3.30
7074367,3.52
4063063,5.86
5435848,4.57
5983000,5.73
8923093,6.38
9377196,1.70
6190641,1.91
4242878,8.14
1596740,4.55
1519727,7.77
1201629,1.17
441161,4.67
8755278,2.00
2366511,1.40
9260851,8.05
4963329,1.26
6866583,0.06
4049169,4.37
5176555,2.50
3733648,2.78
7375186,6.15
4995557,8.26
9151864,6.38
2325965,5.68
3270424,9.0
8510570,9.0
6796537,3.93
7697455,5.46
7126811,5.05
6089356,6.02
8879952,2.43
9176804,0.70
4848704,9.0
6678011,7.03
4656202,1.91
8996169,0.72
9740316,2.78
4753626,0.52
8006938,2.44
8798837,2.90
6122821,3.76
6999360,9.0
3762047,5.15
586273,5.87
5137348,4.94
5518447,6.33
1660567,3.32
8321615,4.20
1535855,3.59
8308193,7.52
6909516,9.0
9590939,0.12
1423999,2.26
2704972,2.34
6083453,3.25
8095701,3.82
5174301,7.25
4748249,8.41
9278118,3.48
518416,8.33
1947580,4.51
7193974,0.28
880681,7.83
4324110,7.76
5981027,1.03
3668697,2.03
6720306,6.34
7561301,5.54
8863539,0.95
9672212,8.21
9230647,1.96
8212475,8.34
3843053,6.23
9557980,1.39
5986107,2.59
2652396,6.28
8915706,7.72
1442476,4.12
2834211,4.58
1686245,1.35
8930788,8.08
7248868,7.26
2801145,9.0
2781241,1.71
3932550,4.26
8704797,8.94
2183056,8.33
1615160,3.87
9215838,0.98
6888618,5.28
6630938,3.09
5734471,0.01
4075742,9.0
2495025,8.79
255516,8.24
1299838,8.03
7513898,1.06
8188232,9.0
7728320,8.20
8351722,5.99
9779399,2.45
8396217,4.85
6910242,4.41
4320048,9.0
4939174,0.95
4223420,7.64
950100,9.0
3124098,9.0
9050324,7.36
4801197,1.99
5450550,5.79
7925314,9.0
5856860,1.46
1262142,6.60
8587533,5.31
6683301,2.52
7617908,8.89
8074094,8.76
4858193,5.22
2370156,1.52
1148851,5.42
8190383,3.57
721090,3.35
5728660,1.09
8372863,9.0
9286506,2.14
5257333,4.99
420630,5.69
4020468,7.28
8426116,2.37
8029137,4.95
5130180,2.95
8311960,3.20
9594969,3.19
306754,6.72
1049037,5.63
6221358,6.93
5304827,6.28
9817859,2.87
5748514,0.40
7272936,8.88
954428,6.21
7069242,9.0
136559,1.34
6052293,1.93
7956154,3.41
8252249,4.91
6238072,3.14
5307355,6.31
3615983,5.67
3951634,1.74
396184,8.69
4394763,2.22
7367484,8.69
8449786,7.61
4271643,0.34
5563836,1.03
1652795,4.61
8173470,1.26
589604,2.71
5957175,9.0
9806006,1.25
7510326,8.10
4707250,2.78
767161,3.78
3672755,9.0
3092186,4.05
5881158,8.96
8132662,6.11
2427299,5.96
4282815,4.19
6722721,3.23
6808805,6.31
7599110,1.93
6262962,4.10
391257,0.95
2275742,7.84
575933,4.80
6744214,8.14
2647434,8.20
3777444,8.88
3097561,6.73
9332596,2.99
6975417,9.0
7307784,1.26
9708166,4.39
1639145,9.0
3456969,1.54
7842354,6.85
7204361,8.85
406836,1.58
871721,5.97
2817928,3.44
3963089,1.89
9517124,0.53
8305634,9.0
7098375,8.27
5177184,1.93
4591919,0.52
2868679,2.67
7745193,4.82
9342361,2.83
1517339,6.17
4557197,2.26
507642,5.24
5658588,4.75
9234535,7.49
3824572,2.07
1014146,6.35
5996196,2.40
5226190,8.63
5932484,9.0
5767200,1.45
8608424,6.26
2499378,4.86
209023,2.19
8433504,4.82
6362591,0.86
5599237,1.89
266041,8.50
2869988,9.0
742355,2.72
6550338,9.0
7967286,2.85
8856373,1.09
7934158,6.78
8651360,4.31
6613300,8.28
4850377,8.21
5099082,8.30
9829994,3.94
8430845,4.16
5823099,7.29
1671104,1.80
2940695,0.18
7508964,7.70
9617386,1.46
1972561,9.0
7534834,7.98
7795263,3.02
9522546,7.86
9161878,3.24
1763192,5.04
956897,4.97
6520956,7.20
1589776,1.48
6526733,4.28
8744448,7.96
1851163,4.09
3726590,1.25
2994809,3.25
1225672,4.36
2158691,3.70
9508553,1.17
6167840,6.35
9387050,6.48
4714515,8.90
934115,7.89
9407100,9.0
8124932,7.42
7525324,8.08
5936926,1.99
7729571,0.41
8359596,9.0
8006494,1.16
2448264,4.77
6781483,5.28
9638278,6.67
1931841,1.72
8140974,5.00
9012728,1.06
7691278,0.27
4594467,3.87
5276450,9.0
351612,2.33
696208,3.18
2169139,9.0
5246536,6.00
2606645,7.31
9945265,0.92
9433555,7.25
7975586,6.98
711749,7.89
3922227,3.70
4471515,6.45
2967194,1.58
4715000,6.99
643069,5.56
9999813,6.02
5009711,5.42
7676656,0.89
4520543,6.64
9025928,8.32
2212245,4.09
8952228,4.52
3946620,6.85
2655504,4.13
9156187,6.12
1955605,4.64
874673,9.0
9745274,9.0
7187735,9.0
4657893,5.21
6420328,4.02
9511251,2.11
6885630,7.32
4747103,3.96
5231996,1.79
3647424,0.99
417541,3.83
2895858,2.03
6856588,0.89
1423417,4.35
185217,0.08
6681623,0.25
1672497,1.51
3886002,6.67
7619678,9.0
2338951,5.34
2171873,9.0
5197874,9.0
3943773,3.96
3337910,8.64
7365240,4.61
5340812,6.20
866885,5.89
4445531,9.0
4312273,7.33
7237922,0.34
3767812,5.47
9012097,3.67
4715098,3.36
5460638,1.80
2002141,4.42
8850214,0.18
7159906,4.12
625060,7.60
3102750,5.22
8409673,0.33
4038964,1.28
450670,9.0
3618864,7.27
6178283,4.22
3082817,3.05
940819,6.80
5714014,3.04
5713957,9.0
302901,7.83
8826591,8.05
4087953,7.84
5335125,0.55
6432173,0.15
7754299,2.71
5250241,4.88
5736201,3.80
1566007,8.89
1511141,1.60
2115659,0.66
3512846,6.83
7936721,6.70
7136646,5.11
853447,0.06
3807711,2.53
355484,6.04
6404155,4.77
5061036,6.18
6565414,6.79
7880683,4.56
1572255,8.92
8803268,3.15
2758878,2.01
